Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
Jet Star (Casino Pier),Casino Pier,Removed,Anton Schwarzkopf,1970,1970-01-01,31.1
Wildcat (Jolly Roger Amusement Park),Other,,Anton Schwarzkopf,1970,,
Gold Rusher,Six Flags Magic Mountain,Operating,Arrow Development,1971,1971-05-29,35.0
Magic Flyer (roller coaster),Other,,Bradley and Kaye,1971,,10.0
River King Mine Train,Six Flags St. Louis,Operating,Arrow Dynamics,1971,1971-06-05,37.0
Excalibur (Six Flags AstroWorld),Six Flags AstroWorld,Removed,Arrow Dynamics,1972,1972-01-01,46.0
Fire in the Hole (Silver Dollar City),Silver Dollar City,Operating,Herschend Family Entertainment,1972,1972-01-01,27.0
Jumbo Jet (Cedar Point),Other,,Anton Schwarzkopf,1972,,
The Racer (Kings Island),Other,Operating,Philadelphia Toboggan Coasters,1972,1972-04-29,53.0
Rock n' Roller Coaster (Opryland),Other,,Arrow Development,1972,,45.0
Scooby-Doo (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,1972,1972-01-01,35.0
Toboggan (Hersheypark),Hersheypark,Removed,Chance Rides,1972,1972-01-01,
Carolina Goldrusher,Carowinds,Operating,Arrow Dynamics,1973,1973-03-31,30.0
Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,1973,1973-03-31,57.0
Schussboomer,Worlds of Fun,Removed,Anton Schwarzkopf,1973,1973-05-26,
Big Fury,Six Flags Great Adventure,Removed,Pinfari,1974,1974-01-01,
Mini-Comet,Hersheypark,Removed,B.A. Schiff & Associates,1974,1974-05-10,
Runaway Mine Train (Six Flags Great Adventure),"Jackson, New Jersey, United States",Operating,,1974,,
Scooby-Doo (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,1974,1974-01-01,35.0
Trailblazer (roller coaster),Hersheypark,Operating,Arrow Development,1974,1974-05-14,35.0
Corkscrew (Knott's Berry Farm),Other,,Arrow Development,1975,,46.0
Glissade (roller coaster),Busch Gardens Williamsburg,Removed,Anton Schwarzkopf,1975,1975-01-01,
Racer 75,Other,Operating,Philadelphia Toboggan Coasters,1975,1975-05-03,56.0
Rockin' Roller,Six Flags St. Louis,Removed,Bradley and Kaye,1975,1975-01-01,
Scooby-Doo (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,1975,1975-01-01,36.0
Space Mountain (Magic Kingdom),Other,Operating,Arrow Development,1975,1975-01-15,27.0
Wabash Cannonball (roller coaster),Opryland USA,Removed,Arrow Development,1975,1975-01-01,50.0
Alpen Blitz,Six Flags Great Adventure,Removed,Anton Schwarzkopf,1976,1976-01-01,10.0
Corkscrew (Cedar Point),Cedar Point,Operating,Arrow Development,1976,1976-05-15,48.0
Demon (roller coaster),Other,,Arrow Dynamics,1976,,50.0
Extremeroller,Worlds of Fun,Removed,Arrow Dynamics,1976,1976-01-01,50.0
Gulf Coaster,Other,,Allan Herschell Company,1976,,
