Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
Outlaw Run,Silver Dollar City,Operating,Rocky Mountain Construction,2013,2013-03-15,68.0
Ring Racer,Nürburgring,Closed,S&S - Sansei Technologies,2013,2013-10-31,99.4
The Smiler,Alton Towers,Operating,Gerstlauer,2013,2013-05-31,52.8
Smoky Mountain Alpine Coaster,Other,Operating,Wiegand,2013,2013-08-03,27.0
Storm Coaster,Sea World (Australia),Operating,Mack Rides,2013,2013-12-06,43.5
White Lightning (roller coaster),Fun Spot America,Operating,Great Coasters International,2013,2013-06-07,44.3
Wild Kitty,Other,,Allan Herschell Company,2013,,
Woodstock Express (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,2013,1974-01-01,35.0
Alpina Blitz,Nigloland,Operating,Mack Rides,2014,2014-04-12,51.6
Arthur – The Ride,Europa-Park,Operating,Mack Rides,2014,2014-06-01,19.3
Banshee (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2014,2014-04-18,68.0
The Bat (Kings Island; opened 1993),Kings Island,Operating,Arrow Dynamics,2014,1993-04-09,51.0
Dragon Wagon (Indiana Beach),Indiana Beach,Removed,Wisdom Rides,2014,2014-08-01,
Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,Operating,Bolliger & Mabillard,2014,2014-07-05,30.4
FireChaser Express,Dollywood,Operating,Gerstlauer,2014,2014-03-22,34.5
Flug der Dämonen,Heide Park Resort,Operating,Bolliger & Mabillard,2014,2014-03-29,62.1
Goliath (Six Flags Great America),Six Flags Great America,Operating,Rocky Mountain Construction,2014,2014-06-19,72.0
Harry Potter and the Escape from Gringotts,Universal Studios Florida,Operating,Intamin,2014,2014-07-08,
Helix (roller coaster),Liseberg,Operating,Mack Rides,2014,2014-04-26,62.1
Lightning Run,Kentucky Kingdom,Operating,Chance Rides,2014,2014-05-24,55.0
El Loco (Adventuredome),Adventuredome,Operating,S&S – Sansei Technologies,2014,2014-02-18,45.0
Medusa Steel Coaster,Six Flags México,Operating,Rocky Mountain Construction,2014,2014-06-14,58.0
Parrot Coaster,Chime-Long Ocean Kingdom,Operating,Bolliger & Mabillard,2014,2014-01-25,67.0
Roar-o-Saurus,Story Land,Operating,The Gravity Group,2014,2014-05-24,33.0
Seven Dwarfs Mine Train,Other,,Vekoma,2014,,34.0
Thunderbird (Holiday World),Holiday World & Splashin' Safari,Operating,Bolliger & Mabillard,2014,2015-04-25,60.0
Thunderbolt (2014 roller coaster),Luna Park,Operating,Zamperla,2014,2014-06-14,56.0
Twist Coaster Robin,Yomiuriland,Removed,Sansei Technologies,2014,2014-03-19,38.5
Wonder Mountain's Guardian,Canada's Wonderland,Operating,Art Engineering,2014,2014-05-24,
Zimerman (roller coaster),Other,,Arrow Dynamics,2014,,55.0
Acrobat (roller coaster),Nagashima Spa Land,Operating,Bolliger & Mabillard,2015,2015-07-18,55.9
Baron 1898,Efteling,Operating,Bolliger & Mabillard,2015,2015-07-01,55.9
Batman: The Ride (S&S Free Spin),Other,,S&S – Sansei Technologies,2015,,38.0
Cannibal (roller coaster),Lagoon,Operating,Lagoon Corporation,2015,2015-07-02,70.0
Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,2015-03-28,95.0
Harpy (Xishuangbanna Theme Park),Xishuangbanna Theme Park,Closed,Bolliger & Mabillard,2015,2015-09-26,52.8
Impulse (roller coaster),Knoebels Amusement Resort,Operating,Zierer,2015,2015-04-25,55.0
Jumbo Jet (Chelyuskintsev Park),Other,,Anton Schwarzkopf,2015,,
Junker (roller coaster),PowerPark,Operating,Gerstlauer,2015,2015-05-30,64.9
Laff Trakk,Hersheypark,Operating,Maurer AG,2015,2015-05-23,40.0
Oblivion: The Black Hole,Gardaland,Operating,Bolliger & Mabillard,2015,2015-03-28,62.2
Octonauts Rollercoaster Adventure,Alton Towers,Operating,Zamperla,2015,2015-03-21,
Puss in Boots' Giant Journey,Universal Studios Singapore,Operating,Zamperla,2015,2015-04-08,
Rewind Racers,Adventure City,Operating,Gerstlauer,2015,2015-06-06,31.1
T3 (roller coaster),Kentucky Kingdom,Operating,Vekoma,2015,1995-04-08,49.7
Tempesto,Busch Gardens Williamsburg,Operating,Premier Rides,2015,2015-04-25,62.0
The Cú Chulainn Coaster,Tayto Park,Operating,The Gravity Group,2015,2015-06-06,55.9
The Oath of Kärnan,Hansa-Park,Operating,Gerstlauer,2015,2015-07-01,78.9
Turbulence (roller coaster),Adventureland (New York),Operating,Mack Rides,2015,2015-05-22,40.0
Twisted Colossus,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2015,2015-05-23,57.0
Wicked Cyclone,Six Flags New England,Operating,Rocky Mountain Construction,2015,2015-05-24,55.0
ZDT's Amusement Park,ZDT's Amusement Park,Operating,The Gravity Group,2015,2015-10-17,40.4
Cobra's Curse,Busch Gardens Tampa Bay,Operating,Mack Rides,2016,2016-06-17,40.0
Flying Aces (roller coaster),Ferrari World Abu Dhabi,Operating,Intamin,2016,2016-02-24,74.6
The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,2016-03-18,62.0
Formuła (Energylandia),Energylandia,Operating,Vekoma,2016,2016-06-25,49.2
The Joker (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Rocky Mountain Construction,2016,2016-05-29,53.0
Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,2016-06-13,73.0
Lost Gravity (roller coaster),Walibi Holland,Operating,Mack Rides,2016,2016-03-24,54.1
Mako (roller coaster),SeaWorld Orlando,Operating,Bolliger & Mabillard,2016,2016-06-10,73.0
The Monster (Adventureland),Adventureland (Iowa),Operating,Gerstlauer,2016,2016-06-04,65.2
Pulsar (roller coaster),Walibi Belgium,Operating,Mack Rides,2016,2016-06-04,62.8
Raik,Phantasialand,Operating,Vekoma,2016,2016-06-30,38.5
Recoil (Wonderla Hyderabad),Other,,Vekoma,2016,,47.0
Taron (roller coaster),Phantasialand,Operating,Intamin,2016,2016-06-30,72.7
The Joker (Six Flags Great Adventure),Other,,S&S – Sansei Technologies,2016,,38.0
Tron Lightcycle Power Run,Other,,Vekoma,2016,2016-06-16,59.3
Valravn (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2016,2016-05-07,75.0
Wildfire (Kolmården Wildlife Park),Kolmården Wildlife Park,Operating,Rocky Mountain Construction,2016,2016-06-28,71.5
Dawson Duel (roller coaster),Other,Operating,Wiegand,2017,2017-05-05,24.9
DC Rivals HyperCoaster,Warner Bros. Movie World,Operating,Mack Rides,2017,2017-09-22,71.5
Gold Rush (Slagharen),Attractiepark Slagharen,Operating,Gerstlauer,2017,2017-04-13,59.0
Hydrus (roller coaster),Casino Pier,Operating,Gerstlauer,2017,2017-05-26,45.0
InvadR,Busch Gardens Williamsburg,Operating,Great Coasters International,2017,2017-04-07,48.0
Lech Coaster,Legendia,Operating,Vekoma,2017,2017-07-01,59.0
Mine Blower,Fun Spot America (Kissimmee),Operating,The Gravity Group,2017,2017-06-23,48.5
Mystic Timbers,Kings Island,Operating,Great Coasters International,2017,2017-04-15,53.0
Patriot (California's Great America),California's Great America,Operating,Bolliger & Mabillard,2017,1991-03-09,45.0
Pégase Express,Parc Astérix,Operating,Gerstlauer,2017,2017-06-11,32.3
Red Force (roller coaster),Ferrari Land,Operating,Intamin,2017,2017-04-07,111.8
Star Trek: Operation Enterprise,Movie Park Germany,Operating,Mack Rides,2017,2017-06-14,55.9
Star Wars Hyperspace Mountain,Disneyland Park (Paris),Operating,Vekoma,2017,2017-05-07,44.0
The Joker (Six Flags Great America),Other,,S&S – Sansei Technologies,2017,,38.0
The Joker (Six Flags New England),Other,,S&S – Sansei Technologies,2017,,38.0
The Joker (Six Flags Over Texas),Other,,S&S – Sansei Technologies,2017,,38.0
